PG.UniProtIds	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFDLEA1	HFDLEA2	HFDLEA3	HFDLEA4
P16332	3631.12793	4581.262695	3952.068115	4265.179688	2657.154541	3027.547852	2583.159668	2983.364502	3290.476074	3129.491211	3351.304932	3036.329102
P16406	4705.649902	5187.673828	3906.859131	5122.077637	5262.197754	5234.370605	4430.262695	5387.14209	6054.42334	5887.542969	5343.242188	5142.637695
P16460	63523.71484	72616.54688	53649.53125	65881.10938	38343.49219	34340.92578	26390.88672	28026.2793	41539.14453	51886.80078	45545.76172	44353.40234
P16546	1596.90332	1633.088501	1751.507813	1489.767944	1409.414429	1356.962524	1470.400024	1567.16333	1372.057495	1446.948853	1453.702515	1430.743164
P16675	1356.143433	1349.174927	1310.203613	1254.258545	1939.915405	1723.557739	2328.35376	1539.321777	1304.461914	1595.836914	1313.965088	1440.73877
P16858	54886.84766	35330.27344	35928.75781	46156.16016	56880.98047	53046.48438	36217.98828	69582.32031	78485.30469	67323.16406	51417.76953	69500.75781
P17047	1960.898438	1338.295654	1205.877563	1849.492798	1680.287109	2265.537109	1840.455444	1314.200562	2140.214844	1492.83606	1852.900391	1710.391724
P17156	28543.13867	22636.5	20458.89844	24543.26953	26866.77734	24536.96484	26077.66211	24954.0957	22792.65625	23393.57813	22296.69727	23887.31055
P17182	41381.60547	38371.60156	35581.78125	39740.74609	37121.82422	37451.82813	37692.71094	38786.73828	38068.33594	37499.70703	33666.69922	37829.76953
P17225	3505.240967	2977.166016	3019.05957	3263.974609	2790.758789	4068.423096	3586.398682	3886.323486	3164.846191	3918.723145	3180.729248	3733.76416
P17426	2882.359375	2436.683838	2733.294434	1813.499512	2092.46582	2111.181152	2096.657471	1994.342285	1871.05603	1946.401123	1848.895264	1900.870361
P17427	725.3264771	715.3861084	840.1586914	636.2439575	812.9621582	686.8585815	742.0671387	809.0018921	837.2285156	665.1469727	776.4489746	875.8186646
P17439	431.8248291	411.0541077	397.2989197	312.5610962	405.0157166	381.6246643	463.3145447	429.0155029	205.3202972	275.9577637	342.1229553	270.6696472
P17563	31715.0918	28049.59375	22794.50391	28649.3457	20913.96484	24552.91797	18697.16992	21319.74414	18148.80664	19996.7832	20844.74219	21413.48047
P17665	2147.428467	2451.289307	2241.018799	2490.745605	1535.369873	1654.055786	1714.430054	1228.46814	2243.356201	2102.058105	2560.101318	2265.935547
P17710	100.5480728	111.4561157	166.6224518	120.6145401	27.20259285	58.0326004	77.82085419	81.18694305	40.63201523	67.7908783	74.46459961	61.27337265
P17717	17737.63086	16665.81836	22500.15234	18507.75977	28351.74023	25824.99219	33735.44531	31359.32227	21460.44727	18144.52344	21832.74805	21402.50781
P17742	43412.82031	41757.99219	39515.22266	42190.85938	37157.71875	37984.09375	40457.84766	35387.43359	35161.86328	39562.79297	34920.08594	37202.07031
P17751	24470.625	22523.58984	22078.55273	26076.58398	23671.73242	21210.48242	20912.91602	20269.60156	20797.26758	21545.17578	21264.39844	21307.69727
P17879;Q61696	5897.54834	5147.012695	5811.869141	5941.550781	9520.108398	7108.203613	8540.737305	5588.522461	5305.219238	4764.719238	4093.424561	6071.606445
P17892	0	37.13337326	212.250473	0	0	0	0	0	0	0	0	0
P17918	388.5066833	396.7917175	502.8329468	323.734314	459.3106079	430.5455627	660.1981812	513.8761597	384.5580444	424.6684875	395.305603	347.119751
P18052	26.51947212	0	0	57.59565353	130.615509	73.32870483	81.87080383	95.98744202	65.67823029	57.06577301	83.05264282	85.2923584
P18242	4042.088867	3568.66626	3321.386475	4533.38623	5987.796387	6354.155762	6967.18457	5252.753418	3920.10791	4681.750977	4797.131836	4758.248535
P18419	37.02480698	0	20.63901329	0	0	0	286.4867859	0	54.67958069	0	285.3277588	0
P18524;P18526	15.13706684	16.82139015	0	0	18.07152367	94.59998322	43.81604385	55.09988403	39.15935898	59.53266144	45.97418213	55.19109344
P18528	110.1581573	238.4620209	258.8337708	163.6701813	51.12606812	109.0176392	110.1834183	31.80227661	22.98383713	16.46388626	58.3556366	35.61315536
P18572	1625.269165	1615.642822	1105.101685	1020.282166	1410.180664	1676.943604	1868.095337	2207.564209	2189.317139	1460.685181	1616.819336	1432.780396
P18653	106.4847336	148.4150085	71.8993454	103.4768829	104.7582626	98.47039795	54.21834564	187.4476776	136.2159119	134.9607697	132.0104675	131.3444519
P18760	11193.04785	8858.65332	8215.316406	7765.53418	9956.404297	9825.525391	9915.49707	9916.614258	11430.03809	11550.05078	9549.176758	8470.615234
P19001	18122.32813	21311.72461	30072.70703	17431.89844	17361.25977	24581.9707	17303.41016	24190.18945	19137.77734	19597.24023	16733.65039	20741.93359
P19096	10611.2627	9682.992188	8075.09082	11259.45605	9952.647461	8833.623047	6051.427734	4976.538574	13392.74805	20898.8457	8642.020508	9607.206055
P19157	123212.6484	105830.3203	103942.4531	116134.0391	142104.7813	130255.7656	149780.75	117835.5625	125612.9609	113812.1406	114835.9141	159320.3594
P19221	1057.329468	1017.464172	931.1204224	842.128418	1292.818726	932.5267334	1230.353638	801.161377	1297.887207	1140.615479	1306.305542	1389.866699
P19253	5602.019531	4713.656738	5851.001953	4901.055176	4861.90918	4304.794434	4701.203125	4771.194336	4080.561768	5632.59082	4954.197266	5220.311035
P19258	188.7427521	272.2982483	186.4208679	189.3972626	236.513855	298.7094116	90.81835175	192.378891	277.1209412	340.8662109	326.7810059	296.7912292
P19324	258.8711548	500.8303833	347.6818237	314.7388	329.7602234	384.9457397	289.7275085	349.8252869	215.8828278	261.9552917	247.26091	354.3985901
P19536	9584.974609	7844.371582	8657.990234	8667.598633	6410.488281	5686.908203	4253.54834	7595.208008	7064.732422	6240.860352	6507.801758	6042.92334
P19639	3332.503662	4654.064941	6029.67627	4348.911621	4823.934082	1796.323242	5462.209473	1103.18811	1404.158813	1195.244507	1529.234131	1199.128418
P19783	32096.19531	29076.98633	29012.36523	27219.42773	27417.15234	27035.4375	24202.79688	27241.98242	28823.79688	28519.13477	30073.01758	26541.49414
P20029	35645.78125	30071.38477	34525.70703	30754.33203	36341.39844	38867.85547	42737.92969	44386.89063	33395.10938	35302.51563	32562.28125	36795.48828
P20060	368.9692993	488.5734863	537.6624146	375.1740417	474.6792603	573.0432739	428.8748169	469.3753662	377.4330139	395.1418762	367.26474	376.0654907
P20065	0	89.75726318	55.23864365	102.0463409	43.93123245	83.91574097	51.64115906	31.63118553	79.59677887	54.21580124	119.4721069	45.02852249
P20108	10913.2168	10027.16406	16177.81738	9143.728516	7629.879883	7642.825684	9168.862305	7327.673828	6509.872559	9719.417969	10145.50781	9158.575195
P20152	3343.177979	7152.07666	4326.942871	3458.717285	4101.404785	3837.911377	3637.625977	4381.398438	2850.383545	3879.728516	3276.120117	4833.942871
P20801	54.87189102	165.0404968	85.69773102	0	0	0	0	0	0	44.03358078	31.25061226	0
P20852	9816.566406	9380.150391	12403.27246	10568.82031	10263.3457	6506.29541	18463.45898	2794.69043	5182.01123	2629.137939	4936.469238	2600.814209
P20918	1055.154541	958.0255737	975.784729	1059.673096	918.902771	1057.800659	1187.473633	1279.700928	1140.298706	1062.333252	980.0693359	1050.739258
P21107	2415.510254	2432.533691	1995.470215	2421.972412	1928.86853	2065.627197	2846.161865	2035.381958	1739.701294	1762.103638	2182.263916	1746.988159
P21126	201.348053	220.2577362	225.3653259	137.4468842	201.4302216	202.1784973	274.3818359	220.0076294	157.8197632	314.9155273	190.2329102	217.5398254
P21278	1021.318909	1179.830444	1161.596436	1048.017456	1102.259399	1141.383423	1376.077148	1130.641235	1158.187866	1155.417847	1193.08313	1234.444336
